,Collection_Location,Longitude,Latitude,Elevation_m,River_Distance_m,River_Slope,Work
1,Fish Creek Gulkana,-145.481274,63.1000428,995,315067.465793785,1.57902688792888,313492.128464816
2,Gulkana Hatchery,-145.5138318,63.06732669,947,311562.772672344,1.51975794777625,295049.945720709
3,Mentasta,-143.35984,62.94958,632,311023.434830103,1.01600061157004,196566.810812625
4,Tanada,-143.382153,62.45133,883,258364.516326009,1.70882598848407,228135.867915866
5,St Anne,-145.9685194,61.73953006,538,170057.226265932,1.58182046071564,91490.7877310713
6,Mahlo,-145.7294181,61.73588,537,166457.565200725,1.61302371373885,89387.7125127894
7,Long Lake,-143.30713,61.37920879,463,155777.652203389,1.486092496103,72125.0529701692
8,Copper Lake,-143.4817789,62.42724893,930,254050.382308247,1.83034560221917,236266.85554667
9,Klutina River,-145.3324535,61.95150431,325,187140.587619804,0.868331141131907,60820.6909764363
10,Upper Klutina,-145.716282,61.751416,548,167996.25909393,1.63098869866382,92061.9499834739